,Latitude,Longitude
1102,46.30,-63.58
1103,49.55,-100.00
1104,55.25,-119.35
1105,50.77,-101.28
1106,49.17,-105.98
1107,50.63,-97.22
1108,57.25,-105.62
1109,52.32,-111.78
1110,49.58,-99.60
1111,45.40,-71.30
1112,66.83,-108.02
1113,51.17,-106.55
1114,43.97,-78.62
1115,49.68,-86.95
1116,44.80,-75.37
1117,61.32,-117.60
1118,53.88,-114.12
1119,52.11,-124.14
1120,56.80,-114.42
1121,48.32,-68.20
1122,58.47,-62.65
1123,50.50,-103.68
1124,54.07,-114.92
1125,44.98,-75.80
1126,46.39,-63.60
1127,45.22,-78.93
1128,72.68,-77.98
1129,50.10,-122.92
1130,52.33,-77.08
1131,49.07,-117.03
1132,50.73,-121.27
1133,49.37,-97.05
1134,49.82,-71.15
1135,53.33,-104.02
1136,51.67,-123.07
1137,49.75,-91.22
1138,50.93,-112.94
1139,49.70,-86.95
1140,49.33,-104.75
1141,51.67,-110.27
1142,49.70,-68.92
1143,51.88,-65.73
1144,54.00,-113.47
1145,50.25,-102.53
1146,48.62,-77.62
1147,49.40,-114.33
1148,52.88,-111.70
1149,47.68,-53.20
1150,45.65,-63.10
1151,47.30,-79.70
1152,51.55,-114.48
1153,55.42,-104.57
1154,51.37,-101.40
1155,50.05,-126.78
1156,44.32,-79.30
1157,49.42,-99.65
1158,43.23,-80.20
1159,69.35,-138.77
1160,45.20,-71.50
1161,50.22,-66.25
1162,43.18,-81.86
1163,51.38,-116.48
1164,61.60,-71.97
1165,49.82,-123.15
1166,51.45,-120.20
1167,49.43,-88.15
1168,59.52,-114.57
1169,57.14,-61.48
1170,54.03,-109.03
1171,46.93,-75.13
1172,51.72,-113.53
1173,48.98,-56.05
1174,48.37,-89.32
1175,47.48,-69.28
1176,51.03,-120.73
1177,44.67,-64.85
1178,44.82,-77.18
1179,49.18,-122.85
1180,45.03,-76.25
1181,48.18,-72.25
1182,48.88,-123.57
1183,52.59,-110.34
1184,47.30,-54.00
1185,49.40,-97.78
1186,53.56,-127.94
1187,44.45,-75.87
1188,60.00,-131.18
1189,46.44,-63.84
1190,42.26,-81.92
1191,53.63,-115.00
1192,53.70,-112.58
1193,53.94,-110.58
1194,51.65,-120.03
1195,44.57,-80.48
1196,81.58,-69.38
1197,46.08,-74.56
1198,43.75,-81.68
1199,54.17,-130.36
1200,58.47,-78.08
1201,57.02,-117.57
1202,47.42,-61.78
1203,48.67,-124.83
1204,45.52,-75.56
1205,51.60,-121.20
1206,49.43,-96.27
1207,52.67,-106.33
1208,46.25,-63.13
1209,51.08,-99.15
1210,48.60,-68.13
1211,50.67,-111.67
1212,54.13,-108.05
1213,54.54,-98.03
1214,48.92,-125.54
1215,49.15,-123.97
1216,48.58,-71.63
1217,49.40,-82.43
1218,43.20,-79.57
1219,48.47,-67.43
1220,44.40,-78.90
1221,49.36,-123.42
1222,45.52,-75.57
1223,46.63,-60.95
1224,46.58,-72.23
1225,49.82,-99.95
1226,49.85,-97.25
1227,51.05,-110.65
1228,59.57,-133.70
1229,63.24,-130.04
1230,45.07,-73.83
1231,61.76,-121.24
1232,42.75,-80.88
1233,44.08,-80.83
1234,46.83,-71.16
1235,48.62,-72.42
1236,49.22,-123.02
1237,53.42,-105.12
1238,52.82,-97.62
1239,49.45,-115.52
1240,43.75,-79.93
1241,50.27,-107.73
1242,47.07,-64.80
1243,54.82,-99.95
1244,49.10,-121.55
